hotel,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
510,Labuhan,ID,80.58,scattered clouds,-6.88,112.21,bador sepret
512,Puerto Del Rosario,ES,80.6,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
513,Olinda,BR,77.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
516,Edd,ER,92.08,overcast clouds,13.93,41.69,
527,Basco,PH,84.36,overcast clouds,20.45,121.97,Nathaniel's Lodge
528,Ugoofaaru,MV,84.06,scattered clouds,5.67,73.0,Ungoofaaru Inn
530,Ariquemes,BR,75.99,clear sky,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
535,Jibuti,DJ,91.4,haze,11.5,42.5,Orchid Main Camp Goubet
536,Zhuhai,CN,90.0,few clouds,22.28,113.57,珠海粤财假日酒店
538,Nalvo,PH,83.77,overcast clouds,16.81,120.51,SABALO RESIDENCE
542,Tessalit,ML,87.49,overcast clouds,20.2,1.01,
543,Nuoro,IT,77.0,clear sky,40.32,9.33,Hotel Sandalia
545,Half Moon Bay,US,75.99,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
548,Porto Novo,BJ,75.2,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
549,La Palma,US,91.4,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
551,Kununurra,AU,84.2,clear sky,-15.77,128.73,Hotel Kununurra
553,Loandjili,CG,75.2,overcast clouds,-4.76,11.86,Résidence ARCHANGE
